competition_name,competition_country,team,tm_club_id,tm_club_name,method,score,tm_scraped_players,scrape_status
Bulgaria. First League,Bulgaria,Levski Sofia,156,Levski Sofia,dict,100,27,scraped
Bulgaria. First League,Bulgaria,Lokomotiv Plovdiv,2259,Loko Plovdiv,dict,100,23,scraped
Bulgaria. First League,Bulgaria,Lokomotiv Sofia 1929,,,dict_unmatched,0,0,dict_unmatched
Bulgaria. First League,Bulgaria,Ludogorets,31614,Ludogorets,dict,100,26,scraped
Bulgaria. First League,Bulgaria,Montana,24078,Montana,dict,100,25,scraped
Bulgaria. First League,Bulgaria,Septemvri Sofia,40416,Septemvri Sofia,dict,100,28,scraped
Bulgaria. First League,Bulgaria,Slavia Sofia,675,Slavia Sofia,dict,100,25,scraped
Bulgaria. First League,Bulgaria,Spartak Varna,9599,Spartak Varna,dict,100,24,scraped
Canada. Canadian Premier League,Canada,Atlético Ottawa,,,no_mapping,0,0,no_mapping
Canada. Canadian Premier League,Canada,Cavalry,,,no_mapping,0,0,no_mapping
Canada. Canadian Premier League,Canada,Forge,,,no_mapping,0,0,no_mapping
Canada. Canadian Premier League,Canada,HFX Wanderers FC,,,no_mapping,0,0,no_mapping
Canada. Canadian Premier League,Canada,Pacific FC,,,no_mapping,0,0,no_mapping
Canada. Canadian Premier League,Canada,Valour FC,,,no_mapping,0,0,no_mapping
Canada. Canadian Premier League,Canada,Vancouver FC,,,no_mapping,0,0,no_mapping
Canada. Canadian Premier League,Canada,York United FC,,,no_mapping,0,0,no_mapping
Chile. Primera B,Chile,Antofagasta,17222,Antofagasta,dict,100,26,scraped
Chile. Primera B,Chile,Cobreloa,9103,Cobreloa,dict,100,26,scraped
Chile. Primera B,Chile,Concepción,14604,D. Concepción,dict,100,27,scraped
Chile. Primera B,Chile,Copiapó,20694,Copiapó,dict,100,28,scraped
Chile. Primera B,Chile,Curicó Unido,19027,Curicó Unido,dict,100,31,scraped
Chile. Primera B,Chile,Deportes Santa Cruz,20683,Santa Cruz,dict,100,28,scraped
Chile. Primera B,Chile,Deportes Temuco,13554,Deportes Temuco,dict,100,25,scraped
Chile. Primera B,Chile,Magallanes,13394,Magallanes,dict,100,31,scraped
Chile. Primera B,Chile,Rangers,18720,Rangers Talca,dict,100,30,scraped
Chile. Primera B,Chile,Recoleta,61808,D. Recoleta,dict,100,23,scraped
Chile. Primera B,Chile,San Luis,19280,San Luis,dict,100,29,scraped
Chile. Primera B,Chile,San Marcos,23162,San Marcos,dict,100,30,scraped
Chile. Primera B,Chile,Santiago Morning,13337,Stgo. Morning,dict,100,28,scraped
Chile. Primera B,Chile,Santiago Wanderers,2403,Wanderers,dict,100,24,scraped
Chile. Primera B,Chile,Univ. Concepción,5622,U. Concepción,dict,100,29,scraped
Chile. Primera B,Chile,Unión San Felipe,15952,San Felipe,dict,100,27,scraped
Chile. Primera División,Chile,Audax Italiano,,,no_mapping,0,0,no_mapping
Chile. Primera División,Chile,Cobresal,,,no_mapping,0,0,no_mapping
Chile. Primera División,Chile,Colo Colo,,,no_mapping,0,0,no_mapping
Chile. Primera División,Chile,Coquimbo Unido,,,no_mapping,0,0,no_mapping
Chile. Primera División,Chile,Deportes Iquique,,,no_mapping,0,0,no_mapping
Chile. Primera División,Chile,Deportes Limache,,,no_mapping,0,0,no_mapping
Chile. Primera División,Chile,Everton,,,no_mapping,0,0,no_mapping
Chile. Primera División,Chile,Huachipato,,,no_mapping,0,0,no_mapping
Chile. Primera División,Chile,La Serena,,,no_mapping,0,0,no_mapping
Chile. Primera División,Chile,O'Higgins,,,no_mapping,0,0,no_mapping
Chile. Primera División,Chile,Palestino,,,no_mapping,0,0,no_mapping
Chile. Primera División,Chile,Universidad Católica,,,no_mapping,0,0,no_mapping
Chile. Primera División,Chile,Universidad de Chile,,,no_mapping,0,0,no_mapping
Chile. Primera División,Chile,Unión Española,,,no_mapping,0,0,no_mapping
Chile. Primera División,Chile,Unión La Calera,,,no_mapping,0,0,no_mapping
Chile. Primera División,Chile,Ñublense,,,no_mapping,0,0,no_mapping
China PR. China League One,China PR,Chongqing Tongliang Long,,,dict_unmatched,0,0,dict_unmatched
China PR. China League One,China PR,Dalian K'un City,57778,DL K'un City,dict,100,30,scraped
China PR. China League One,China PR,Dingnan United,45500,DN United,dict,100,28,scraped
China PR. China League One,China PR,Foshan Nanshi,54134,FS Nanshi,dict,100,31,scraped
China PR. China League One,China PR,Guangdong GZ-Power,107713,GD GZ-Power,dict,100,28,scraped
China PR. China League One,China PR,Guangxi Pingguo Haliao,71180,GX Pingguo,dict,100,0,dict
China PR. China League One,China PR,Liaoning Tieren,50973,LN Tieren,dict,100,28,scraped
China PR. China League One,China PR,Nanjing City,,,dict_unmatched,0,0,dict_unmatched
China PR. China League One,China PR,Nantong Zhiyun,46487,NT Zhiyun,dict,100,30,scraped
China PR. China League One,China PR,Qingdao Red Lions,53326,QD Red Lions,dict,100,32,scraped
China PR. China League One,China PR,Shaanxi Union,,,dict_unmatched,0,0,dict_unmatched
China PR. China League One,China PR,Shanghai Jiading Huilong,,,dict_unmatched,0,0,dict_unmatched
China PR. China League One,China PR,Shenzhen Juniors,108131,SZ Juniors,dict,100,30,scraped
China PR. China League One,China PR,Shijiazhuang Gongfu,,,dict_unmatched,0,0,dict_unmatched
China PR. China League One,China PR,Suzhou Dongwu,39268,SZ Dongwu,dict,100,28,scraped
China PR. China League One,China PR,Yanbian Longding,73135,YB Longding,dict,100,29,scraped
China. CSL,China,Antofagasta,,,no_mapping,0,0,no_mapping
China. CSL,China,Curicó Unido,,,no_mapping,0,0,no_mapping
China. CSL,China,Deportes Santa Cruz,,,no_mapping,0,0,no_mapping
China. CSL,China,Magallanes,,,no_mapping,0,0,no_mapping
China. CSL,China,Rangers,,,no_mapping,0,0,no_mapping
China. CSL,China,San Luis,,,no_mapping,0,0,no_mapping
